"Species"	"Long"	"Lat"	"optional"
"118"	"Culex quinquefasciatus"	584496.002298328	1343781.83822073	TRUE
"119"	"Culex quinquefasciatus"	582489.555508429	1340282.67675298	TRUE
"120"	"Culex quinquefasciatus"	580516.217232928	1348048.31807572	TRUE
"121"	"Culex quinquefasciatus"	582087.333653317	1340921.87023488	TRUE
"122"	"Culex quinquefasciatus"	575305.287075213	1348868.39112544	TRUE
"123"	"Culex quinquefasciatus"	582145.039682064	1340909.86518656	TRUE
"124"	"Culex quinquefasciatus"	570031.186517691	1353065.43475196	TRUE
"125"	"Culex quinquefasciatus"	572603.076086597	1351949.21190962	TRUE
"126"	"Culex quinquefasciatus"	574830.379530606	1353811.5644514	TRUE
"127"	"Culex quinquefasciatus"	577010.361930883	1348715.75940824	TRUE
"128"	"Culex quinquefasciatus"	579084.682540506	1343115.52374274	TRUE
"129"	"Deinocerites sp."	570812.65099568	1357500.08780191	TRUE
"130"	"Deinocerites sp."	570874.15795463	1357519.58934307	TRUE
"131"	"Deinocerites sp."	584668.540270054	1338225.21735707	TRUE
"132"	"Deinocerites sp."	583009.951751666	1337079.26507978	TRUE
"133"	"Deinocerites sp."	583009.951751666	1337079.26507978	TRUE
"134"	"Deinocerites sp."	583009.951751666	1337079.26507978	TRUE
"135"	"Deinocerites sp."	583009.951751666	1337079.26507978	TRUE
"136"	"Deinocerites sp."	583009.951751666	1337079.26507978	TRUE
"137"	"Deinocerites sp."	583009.951751666	1337079.26507978	TRUE
"138"	"Deinocerites sp."	583020.85635135	1337071.55429504	TRUE
"139"	"Deinocerites sp."	583020.85635135	1337071.55429504	TRUE
"140"	"Deinocerites sp."	583020.85635135	1337071.55429504	TRUE
"141"	"Deinocerites sp."	583020.85635135	1337071.55429504	TRUE
"142"	"Deinocerites sp."	584629.447827506	1338195.24699483	TRUE
"143"	"Deinocerites sp."	585085.724578898	1338093.70126047	TRUE
"144"	"Haemagogus chrysochlorus"	571031.337209916	1356429.68828119	TRUE
"145"	"Haemagogus chrysochlorus"	571029.454084839	1356309.14343946	TRUE
"146"	"Haemagogus chrysochlorus"	566188.43896196	1359498.30252559	TRUE
"147"	"Haemagogus chrysochlorus"	565455.705051326	1357559.06798308	TRUE
"148"	"Haemagogus chrysochlorus"	574711.570706846	1353910.79127021	TRUE
"149"	"Haemagogus chrysochlorus"	574711.570706846	1353910.79127021	TRUE
"150"	"Haemagogus chrysochlorus"	576611.01904811	1351388.18741121	TRUE
"151"	"Haemagogus chrysochlorus"	576039.098896361	1351208.98924632	TRUE
"152"	"Haemagogus chrysochlorus"	579082.125630793	1348138.44011585	TRUE
"153"	"Haemagogus chrysochlorus"	578101.227845317	1352098.21211072	TRUE
"154"	"Haemagogus chrysochlorus"	574510.916791999	1353687.99986269	TRUE
"155"	"Haemagogus chrysochlorus"	574510.916791999	1353687.99986269	TRUE
"156"	"Haemagogus chrysochlorus"	576171.343095217	1353026.51619716	TRUE
"157"	"Haemagogus chrysochlorus"	575880.356043704	1350970.04120714	TRUE
"158"	"Haemagogus chrysochlorus"	575971.247211449	1350018.44448808	TRUE
"159"	"Haemagogus chrysochlorus"	575971.247211449	1350018.44448808	TRUE
"160"	"Haemagogus chrysochlorus"	575988.476476929	1349706.96257845	TRUE
"161"	"Haemagogus chrysochlorus"	571120.493212489	1356439.85727737	TRUE
"162"	"Haemagogus chrysochlorus"	570027.991957685	1353036.67452986	TRUE
"163"	"Haemagogus chrysochlorus"	572600.870604497	1351961.37108241	TRUE
"164"	"Haemagogus chrysochlorus"	572600.870604497	1351961.37108241	TRUE
"165"	"Haemagogus chrysochlorus"	568458.976192427	1352345.12978133	TRUE
"166"	"Haemagogus chrysochlorus"	570031.186517691	1353065.43475196	TRUE
"167"	"Haemagogus chrysochlorus"	569390.782921317	1352961.0702658	TRUE
"168"	"Haemagogus chrysochlorus"	572603.076086597	1351949.21190962	TRUE
"169"	"Haemagogus chrysochlorus"	574830.379530606	1353811.5644514	TRUE
"170"	"Haemagogus chrysochlorus"	574723.55469324	1353903.08059079	TRUE
"171"	"Haemagogus chrysochlorus"	579225.708728512	1348145.46061004	TRUE
"172"	"Haemagogus chrysochlorus"	576786.183334523	1351792.18050417	TRUE
"173"	"Haemagogus chrysochlorus"	576585.833644169	1350908.72200065	TRUE
"174"	"Haemagogus chrysochlorus"	575885.530851732	1350608.21052542	TRUE
"175"	"Haemagogus chrysochlorus"	577436.572560104	1349218.9459585	TRUE
"176"	"Haemagogus chrysochlorus"	575801.028772001	1349839.62772256	TRUE
"177"	"Haemagogus chrysochlorus"	577010.361930883	1348715.75940824	TRUE
"178"	"Haemagogus chrysochlorus"	578089.283284683	1352090.43919832	TRUE
"181"	"Haemagogus chrysochlorus"	576197.854391642	1349465.75781118	TRUE
"182"	"Haemagogus chrysochlorus"	576865.988517227	1349305.14917224	TRUE
"183"	"Haemagogus chrysochlorus"	575971.247211449	1350018.44448808	TRUE
"184"	"Haemagogus chrysochlorus"	575971.247211449	1350018.44448808	TRUE
"185"	"Haemagogus chrysochlorus"	579139.816196095	1348126.43005324	TRUE
"186"	"Haemagogus chrysochlorus"	575885.530851732	1350608.21052542	TRUE
"187"	"Haemagogus chrysochlorus"	575779.173695751	1350343.18904213	TRUE
"188"	"Haemagogus chrysochlorus"	575801.028772001	1349839.62772256	TRUE
"189"	"mosquito sp."	578464.582780227	1349998.6589134	TRUE
"190"	"mosquito sp."	582992.520442297	1337085.85177831	TRUE
"191"	"mosquito sp."	575971.247211449	1350018.44448808	TRUE
"192"	"mosquito sp."	583004.306656221	1337152.23784096	TRUE
"193"	"mosquito sp."	583004.306656221	1337152.23784096	TRUE
"194"	"mosquito sp."	582332.459497069	1343560.09378325	TRUE
"195"	"Psorophora confinis"	572879.591873054	1353172.99350876	TRUE
"196"	"Psorophora confinis"	580686.645009779	1342642.65481204	TRUE
"197"	"Psorophora confinis"	571521.614504904	1356072.57662344	TRUE
"198"	"Psorophora confinis"	571521.614504904	1356072.57662344	TRUE
"199"	"Psorophora confinis"	571521.614504904	1356072.57662344	TRUE
"200"	"Psorophora confinis"	571982.422668585	1355319.49686006	TRUE
"201"	"Psorophora confinis"	584492.798092299	1343760.81707291	TRUE
"202"	"Psorophora confinis"	582087.333653317	1340921.87023488	TRUE
"203"	"Psorophora confinis"	585037.267888163	1339054.58315767	TRUE
"204"	"Psorophora confinis"	585037.267888163	1339054.58315767	TRUE
"205"	"Psorophora confinis"	582110.163537367	1340929.6746169	TRUE
"206"	"Psorophora confinis"	582110.163537367	1340929.6746169	TRUE
"207"	"Psorophora confinis"	582110.163537367	1340929.6746169	TRUE
"208"	"Psorophora confinis"	582110.163537367	1340929.6746169	TRUE
"209"	"Psorophora confinis"	568420.916664865	1352340.61775279	TRUE
"210"	"Psorophora confinis"	568420.916664865	1352340.61775279	TRUE
"211"	"Psorophora confinis"	582668.963811027	1343455.97179038	TRUE
"212"	"Psorophora confinis"	582668.963811027	1343455.97179038	TRUE
"213"	"Uranotaenia lowii"	577721.772551638	1340037.57647925	TRUE
"214"	"Uranotaenia lowii"	583168.977171186	1345569.62610578	TRUE
"215"	"Uranotaenia lowii"	570858.640628714	1357505.39661157	TRUE
"216"	"Uranotaenia lowii"	578757.434790851	1343834.58051131	TRUE
"217"	"Uranotaenia lowii"	578757.434790851	1343834.58051131	TRUE
"218"	"Uranotaenia lowii"	579084.682540506	1343115.52374274	TRUE
"219"	"Uranotaenia lowii"	579084.682540506	1343115.52374274	TRUE
"220"	"Uranotaenia lowii"	579231.997620519	1341735.77722175	TRUE
"221"	"Uranotaenia lowii"	579151.479594273	1341734.45629508	TRUE
"222"	"Uranotaenia lowii"	578971.249084693	1341584.68187327	TRUE
